time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
125.68056,0.029979246,28.678122,125.68056,0.029979246,18.244564,125.68056,29.277775,125.68056,29.975307,125.68056,24.0,125.68056,66.22222,125.68056,0.0,125.68056,220.11111,125.68056,965.3874,125.68056,22.984047,125.68056,0.0,125.68056,0.0,125.68056,0.0,125.68056,0.00060655887,125.68056,0.0005522284,125.68056,23.576664,125.68056,24.196665,125.68056,23.886665,125.68056,20240504,125.68056,162000,125.68056,2024.0,125.68056,5.0,125.68056,4.0,125.68056,16.0,125.68056,20.0,125.68056,0.0,125.68056,-1.0,125.68056,-999.0,125.68056,-999.0,125.68056,-999.0,125.68056,4.0774446,125.68056,2500.0,125.68056,0.029979246,100971.914,125.68056,0.029979246,69641.55,125.68056,,125.68056,,125.68056,,125.68056,,125.68056,,125.68056,,125.68056,,125.68056,,125.68056,0.11991698,0.45734808,125.68056,0.11991698,0.032334786,,,,,,,,,,,,,125.68056,0.0,0.0,2.7281115,125.68056,0.0,1.1991699,125.68056,0.11991698,0.21055597,125.68056,0.11991698,28.426445,125.68056,0.11991698,0.007018531,125.68056,0.11991698,0.066031426,125.68056,0.11991698,6.0,125.68056,0.0,WaterCloud,125.68056,30.0,125.68056,
125.68056,0.05995849,19.544325,125.68056,0.05995849,1.9812139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.68056,0.05995849,68797.53,125.68056,0.05995849,7565.7803,,,,,,,,,,,,,,,,,125.68056,0.14989623,0.4404719,125.68056,0.14989623,0.02905371,,,,,,,,,,,,,125.68056,0.0,1.0,3.0279038,125.68056,1.0,,125.68056,0.14989623,0.2045224,125.68056,0.14989623,28.399899,125.68056,0.14989623,0.006817413,125.68056,0.14989623,0.06187605,125.68056,0.14989623,6.0,125.68056,1.0,MixedCloud,,,,
125.68056,0.08993774,17.816124,125.68056,0.08993774,1.5473746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.68056,0.08993774,62756.535,125.68056,0.08993774,5906.8193,,,,,,,,,,,,,,,,,125.68056,0.17987548,0.42794693,125.68056,0.17987548,0.0271073,,,,,,,,,,,,,125.68056,0.0,2.0,3.2677379,125.68056,2.0,,125.68056,0.17987548,0.20070851,125.68056,0.17987548,28.383118,125.68056,0.17987548,0.0066902842,125.68056,0.17987548,0.059557304,125.68056,0.17987548,6.0,125.68056,2.0,Ice/dust/ash,,,,
125.68056,0.11991698,16.175457,125.68056,0.11991698,1.2497545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.68056,0.11991698,56948.586,125.68056,0.11991698,4768.652,,,,,,,,,,,,,,,,,125.68056,0.20985472,0.42972577,125.68056,0.20985472,0.024782447,,,,,,,,,,,,,125.68056,1.0,0.0,9.833193,125.68056,3.0,,125.68056,0.20985472,0.20506696,125.68056,0.20985472,28.402292,125.68056,0.20985472,0.0068355654,125.68056,0.20985472,0.05453048,125.68056,0.20985472,6.0,125.68056,3.0,Rain/Dust,,,,
125.68056,0.14989623,14.990346,125.68056,0.14989623,1.049695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.68056,0.14989623,52779.184,125.68056,0.14989623,4005.8176,,,,,,,,,,,,,,,,,125.68056,0.23983397,0.42943862,125.68056,0.23983397,0.023241533,,,,,,,,,,,,,125.68056,1.0,1.0,10.013068,125.68056,4.0,,125.68056,0.23983397,0.20831884,125.68056,0.23983397,28.416603,125.68056,0.23983397,0.0069439616,125.68056,0.23983397,0.051343717,125.68056,0.23983397,6.0,125.68056,4.0,Molecular,,,,
125.68056,0.17987548,13.987208,125.68056,0.17987548,0.92246026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.68056,0.17987548,49246.305,125.68056,0.17987548,3519.7605,,,,,,,,,,,,,,,,,125.68056,0.2698132,0.42512035,125.68056,0.2698132,0.02220554,,,,,,,,,,,,,125.68056,1.0,2.0,,125.68056,5.0,,125.68056,0.2698132,0.20925413,125.68056,0.2698132,28.42072,125.68056,0.2698132,0.0069751376,125.68056,0.2698132,0.049629744,125.68056,0.2698132,5.0,125.68056,5.0,CleanAerosol,,,,
125.68056,0.20985472,13.431906,125.68056,0.20985472,0.79848284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.68056,0.20985472,47311.98,125.68056,0.20985472,3046.5598,,,,,,,,,,,,,,,,,125.68056,0.29979247,0.42410198,125.68056,0.29979247,0.02126797,,,,,,,,,,,,,125.68056,2.0,0.0,,125.68056,6.0,,125.68056,0.29979247,0.21216536,125.68056,0.29979247,28.433529,125.68056,0.29979247,0.007072178,125.68056,0.29979247,0.04774742,125.68056,0.29979247,5.0,125.68056,6.0,PollutedAerosol,,,,
125.68056,0.23983397,12.787103,125.68056,0.23983397,0.70855266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.68056,0.23983397,45030.152,125.68056,0.23983397,2704.79,,,,,,,,,,,,,,,,,125.68056,0.3297717,0.42447424,125.68056,0.3297717,0.020327253,,,,,,,,,,,,,125.68056,2.0,1.0,,125.68056,7.0,,125.68056,0.3297717,0.21604851,125.68056,0.3297717,28.450613,125.68056,0.3297717,0.007201617,125.68056,0.3297717,0.045698006,125.68056,0.3297717,5.0,125.68056,7.0,Undetected,,,,
125.68056,0.2698132,11.818802,125.68056,0.2698132,0.62930244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.68056,0.2698132,41626.46,125.68056,0.2698132,2401.1304,,,,,,,,,,,,,,,,,125.68056,0.35975096,0.43731597,125.68056,0.35975096,0.019185873,,,,,,,,,,,,,125.68056,2.0,2.0,,125.68056,8.0,,125.68056,0.35975096,0.22784264,125.68056,0.35975096,28.50251,125.68056,0.35975096,0.0075947545,125.68056,0.35975096,0.042045448,125.68056,0.35975096,5.0,,,,,,,
125.68056,0.29979247,10.955482,125.68056,0.29979247,0.55875355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.68056,0.29979247,38585.28,125.68056,0.29979247,2130.2742,,,,,,,,,,,,,,,,,125.68056,0.3897302,0.44582272,125.68056,0.3897302,0.019060396,,,,,,,,,,,,,125.68056,3.0,0.0,,125.68056,9.0,,125.68056,0.3897302,0.23736961,125.68056,0.3897302,28.544424,125.68056,0.3897302,0.007912319,125.68056,0.3897302,0.041017007,125.68056,0.3897302,5.0,,,,,,,
