LECROYWS4104HD,19252,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,28-Nov-2024 18:55:41,0                 
Time,Ampl
-1.5200213e-005,0.0176071
-1.5199813e-005,0.0199599
-1.5199413e-005,0.0246657
-1.5199013e-005,0.0223128
-1.5198613e-005,0.0129013
-1.5198213e-005,0.0152542
-1.5197813e-005,0.0176071
-1.5197413e-005,0.0129013
-1.5197013e-005,0.0152542
-1.5196613e-005,0.0246657
-1.5196213e-005,0.0176071
-1.5195813e-005,0.0152542
-1.5195413e-005,0.0129013
-1.5195013e-005,0.0176071
-1.5194613e-005,0.0129013
-1.5194213e-005,0.0223128
-1.5193813e-005,0.0199599
-1.5193413e-005,0.0152542
-1.5193013e-005,0.0270186
-1.5192613e-005,0.00113691
-1.5192213e-005,0.0199599
-1.5191813e-005,0.0176071
-1.5191413e-005,0.0152542
-1.5191013e-005,0.0176071
-1.5190613e-005,0.0129013
-1.5190213e-005,0.0129013
-1.5189813e-005,0.0152542
-1.5189413e-005,0.0199599
-1.5189013e-005,0.0199599
-1.5188613e-005,0.0246657
-1.5188213e-005,0.0246657
-1.5187813e-005,0.0176071
-1.5187413e-005,0.0223128
-1.5187013e-005,0.0176071
-1.5186613e-005,0.0223128
-1.5186213e-005,0.0152542
-1.5185813e-005,0.0129013
-1.5185413e-005,0.0223128
-1.5185013e-005,0.00819555
-1.5184613e-005,0.0152542
-1.5184213e-005,0.0176071
-1.5183813e-005,0.0129013
-1.5183413e-005,0.0199599
-1.5183013e-005,0.0223128
-1.5182613e-005,0.0105484
-1.5182213e-005,0.0199599
-1.5181813e-005,0.0152542
-1.5181413e-005,0.0152542
-1.5181013e-005,0.0105484
-1.5180613e-005,0.0246657
-1.5180213e-005,0.0105484
-1.5179813e-005,0.0129013
-1.5179413e-005,0.0199599
-1.5179013e-005,0.0152542
-1.5178613e-005,0.0105484
-1.5178213e-005,0.0152542
-1.5177813e-005,0.0129013
-1.5177413e-005,0.0246657
-1.5177013e-005,0.0152542
-1.5176613e-005,0.0199599
-1.5176213e-005,0.0199599
-1.5175813e-005,0.0199599
-1.5175413e-005,0.0105484
-1.5175013e-005,0.0129013
-1.5174613e-005,0.0129013
-1.5174213e-005,0.0246657
-1.5173813e-005,0.0199599
-1.5173413e-005,0.0246657
-1.5173013e-005,0.0176071
-1.5172613e-005,0.0129013
-1.5172213e-005,0.0129013
-1.5171813e-005,0.0152542
-1.5171413e-005,0.0152542
-1.5171013e-005,0.0152542
-1.5170613e-005,0.0105484
-1.5170213e-005,0.0199599
-1.5169813e-005,0.0129013
-1.5169413e-005,0.00819555
-1.5169013e-005,0.0199599
-1.5168613e-005,0.0105484
-1.5168213e-005,0.0105484
-1.5167813e-005,0.0129013
-1.5167413e-005,0.0152542
-1.5167013e-005,0.00348979
-1.5166613e-005,0.0199599
-1.5166213e-005,0.0176071
-1.5165813e-005,0.0105484
-1.5165413e-005,0.0199599
-1.5165013e-005,0.00348979
-1.5164613e-005,0.0199599
-1.5164213e-005,0.0223128
-1.5163813e-005,0.0199599
-1.5163413e-005,0.0152542
-1.5163013e-005,0.0129013
-1.5162613e-005,0.0246657
-1.5162213e-005,0.0152542
-1.5161813e-005,0.0199599
-1.5161413e-005,0.0176071
-1.5161013e-005,0.0105484
-1.5160613e-005,0.0176071
-1.5160213e-005,0.0129013
-1.5159813e-005,0.0199599
-1.5159413e-005,0.0105484
-1.5159013e-005,0.0199599
-1.5158613e-005,0.0152542
-1.5158213e-005,0.0176071
-1.5157813e-005,0.0176071
-1.5157413e-005,0.0176071
-1.5157013e-005,0.00819555
-1.5156613e-005,0.0176071
-1.5156213e-005,0.00348979
-1.5155813e-005,0.0199599
-1.5155413e-005,0.0129013
-1.5155013e-005,0.0105484
-1.5154613e-005,0.0176071
-1.5154213e-005,0.0129013
-1.5153813e-005,0.0129013
-1.5153413e-005,0.0152542
-1.5153013e-005,0.0152542
-1.5152613e-005,0.0176071
-1.5152213e-005,0.0129013
-1.5151813e-005,0.0152542
-1.5151413e-005,0.0129013
-1.5151013e-005,0.0129013
-1.5150613e-005,0.0199599
-1.5150213e-005,0.0129013
-1.5149813e-005,0.0152542
-1.5149413e-005,0.0152542
-1.5149013e-005,0.0129013
-1.5148613e-005,0.0199599
-1.5148213e-005,0.0223128
-1.5147813e-005,0.0152542
-1.5147413e-005,0.0199599
-1.5147013e-005,0.0129013
-1.5146613e-005,0.0176071
-1.5146213e-005,0.0176071
-1.5145813e-005,0.00819555
-1.5145413e-005,0.0152542
-1.5145013e-005,0.00819555
-1.5144613e-005,0.0199599
-1.5144213e-005,0.0223128
-1.5143813e-005,0.0199599
-1.5143413e-005,0.0199599
-1.5143013e-005,0.0105484
-1.5142613e-005,0.0199599
-1.5142213e-005,0.0199599
-1.5141813e-005,0.0223128
-1.5141413e-005,0.00348979
-1.5141013e-005,0.00819555
-1.5140613e-005,0.0152542
-1.5140213e-005,0.0105484
-1.5139813e-005,0.0152542
-1.5139413e-005,0.00819555
-1.5139013e-005,0.0105484
-1.5138613e-005,0.0105484
-1.5138213e-005,0.0199599
-1.5137813e-005,0.0152542
